序号,时间节点,年代分类,年代名称,事件描述,图片说明,原始图片URL,本地图片路径,本地文件名
1,1913年,youth,求学探索时期,毛泽东在湖南省立第四师范学校求学时,,https://p2.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122612073979103.jpg,images/node_001_1913.jpg,node_001_1913.jpg
2,1919年,youth,求学探索时期,毛泽东在长沙,,https://p5.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610202074901.jpg,images/node_002_1919.jpg,node_002_1919.jpg
3,1918年3月,youth,求学探索时期,湖南省立第一师范学校第八班合影 毛泽东在四排右二,,https://p3.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610203412831.jpg,images/node_003_19183.jpg,node_003_19183.jpg
4,1919年11月16日,youth,求学探索时期,新民学会部分会员 在长沙周南女校合影 毛泽东在后排左四,,https://p3.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610204584428.jpg,images/node_004_19191116.jpg,node_004_19191116.jpg
5,1920年1月18日,youth,求学探索时期,毛泽东（左四）同进步团体辅社成员 在北京陶然亭合影,,https://p2.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610211116805.jpg,images/node_005_1920118.jpg,node_005_1920118.jpg
6,1924年,revolution,革命征程时期,毛泽东在上海,,https://p1.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610212465903.jpg,images/node_006_1924.jpg,node_006_1924.jpg
7,1925年,revolution,革命征程时期,毛泽东在广州,,https://p3.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610214535429.jpg,images/node_007_1925.jpg,node_007_1925.jpg
8,1927年,revolution,革命征程时期,毛泽东在武汉,,https://p1.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610224775428.jpg,images/node_008_1927.jpg,node_008_1927.jpg
9,1934年,revolution,革命征程时期,毛泽东和警卫员在瑞金 （左二起：吴光荣、陈昌奉、戴田福）,,https://p4.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610231161892.jpg,images/node_009_1934.jpg,node_009_1934.jpg
10,1936年,yanan,延安岁月时期,毛泽东在保安,,https://p3.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610233166915.jpg,images/node_010_1936.jpg,node_010_1936.jpg
11,1936年,yanan,延安岁月时期,毛泽东在保安,,https://p1.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610234725340.jpg,images/node_011_1936.jpg,node_011_1936.jpg
12,1936年,yanan,延安岁月时期,毛泽东和青年时代的老师徐特立 在保安,,https://p5.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610240022846.jpg,images/node_012_1936.jpg,node_012_1936.jpg
13,1936年,yanan,延安岁月时期,毛泽东和朱德在保安,,https://p2.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610252118967.jpg,images/node_013_1936.jpg,node_013_1936.jpg
14,1937年4月,yanan,延安岁月时期,毛泽东在延安机场 15 八七会议后 毛泽东回湖南 领导湘赣边界秋收起义,,https://p1.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610254353084.jpg,images/node_014_19374.jpg,node_014_19374.jpg
15,1937年5月9日,yanan,延安岁月时期,毛泽东在延安 和当年参加秋收起义的部分同志合影,,https://p3.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610260771287.jpg,images/node_015_193759.jpg,node_015_193759.jpg
16,1937年,yanan,延安岁月时期,毛泽东和朱德、周恩来、秦邦宪在延安,,https://p5.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610262649646.jpg,images/node_016_1937.jpg,node_016_1937.jpg
17,1938年,yanan,延安岁月时期,毛泽东在延安,,https://p2.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610264889363.jpg,images/node_017_1938.jpg,node_017_1938.jpg
